                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                  1.496,                 1.8427,                      0,                0.72402,                 1.0178,                0.99461,                0.96565,                0.98508,                0.58247,                0.96275,                0.94722,                0.96364,                0.67065,                 1.4533,                 1.2244,                      0,                0.64131,                 1.0118,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.5251,                 1.7646,                      0,                0.72436,                 1.0282,                 0.9635,                0.96755,                0.98521,                 0.5752,                0.86303,                0.84817,                0.84249,                0.34187,                 1.4669,                 2.3363,                      0,                0.63561,                  1.011,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.5231,                 1.6981,                      0,                 0.7075,                  1.012,                0.98397,                 0.9642,                0.98394,                0.57572,                0.92229,                 0.9267,                0.92513,                0.38023,                 1.4753,                 2.2614,                      0,                0.62677,                 1.0088,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.5431,                 1.7497,                      0,                0.71657,                 1.0202,                0.99464,                0.97102,                0.98752,                0.57909,                0.97191,                0.95288,                0.95369,                0.55064,                 1.4192,                 1.4941,                      0,                0.62802,                0.99507,               0.001604,               0.001604,               0.001604
                     43,                 1.5433,                 1.8708,                      0,                0.74687,                 1.0072,                0.99311,                0.97382,                0.98437,                0.56895,                0.81855,                0.80628,                0.83822,                0.30495,                 1.4801,                 2.7257,                      0,                0.68153,                 1.0122,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.5354,                 1.8501,                      0,                0.74416,                 1.0246,                0.98437,                0.98429,                0.99398,                0.58289,                 0.9583,                0.96256,                0.95962,                0.72254,                 1.4308,                 1.1574,                      0,                0.64189,                0.99954,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.5497,                 1.7031,                      0,                0.74079,                 1.0071,                0.98406,                 0.9697,                0.98731,                  0.586,                0.94203,                0.93717,                0.93876,                0.75352,                 1.4217,                  1.141,                      0,                 0.6356,                  1.001,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.5291,                 1.6709,                      0,                0.71874,                 1.0029,                0.97387,                0.97569,                0.98447,                0.58549,                0.95495,                0.93194,                0.94004,                0.66586,                 1.4366,                   1.21,                      0,                0.62706,                 1.0003,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.5226,                 1.6391,                      0,                0.72617,                 1.0089,                0.98063,                0.96335,                0.98572,                0.58688,                0.95184,                0.93194,                0.93911,                0.65242,                 1.4248,                 1.1978,                      0,                 0.6211,                0.99446,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.5246,                 1.5978,                      0,                0.72875,                 1.0039,                0.99452,                0.94997,                0.98704,                0.55695,                0.89041,                 0.8508,                0.86569,                0.59224,                 1.4925,                 1.4676,                      0,                0.65559,                 1.0207,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.5257,                  1.634,                      0,                0.71285,                  1.014,                0.98891,                0.96859,                0.98768,                0.58684,                0.95262,                 0.9475,                0.95219,                0.58576,                 1.4315,                  1.397,                      0,                0.60562,                0.99921,              0.0015347,              0.0015347,              0.0015347
                     50,                  1.548,                 1.5962,                      0,                0.69702,                 1.0382,                0.99471,                0.98397,                0.98831,                 0.5817,                0.95419,                0.93194,                0.92773,                0.69842,                  1.436,                 1.1207,                      0,                 0.6144,                 0.9995,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.5662,                  1.474,                      0,                0.72843,                  1.018,                0.98951,                0.98764,                0.99096,                 0.5865,                 0.9423,                0.94056,                0.93289,                0.75442,                  1.444,                 1.0538,                      0,                0.63802,                 1.0035,              0.0015149,              0.0015149,              0.0015149
                     52,                  1.512,                  1.568,                      0,                0.71395,                 1.0045,                0.99356,                0.97382,                0.98414,                0.57608,                0.57866,                0.57068,                0.45352,                0.12654,                 1.4617,                 3.7434,                      0,                0.63957,                 1.0052,               0.001505,               0.001505,               0.001505
                     53,                 1.4978,                 1.5674,                      0,                0.71697,                0.99997,                0.98944,                0.98132,                0.98871,                0.59932,                0.92218,                 0.9267,                0.91079,                0.63543,                 1.3911,                 1.2819,                      0,                0.59792,                0.99066,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.5019,                 1.5163,                      0,                0.69757,                0.98766,                0.98403,                0.96774,                0.98335,                0.57455,                0.50172,                0.49738,                0.35068,                0.09734,                 1.4963,                 3.9449,                      0,                0.61111,                 1.0115,              0.0014852,              0.0014852,              0.0014852
                     55,                  1.498,                 1.6742,                      0,                0.69691,                 1.0008,                      1,                0.95718,                0.98891,                0.59273,                 0.9148,                0.89942,                0.88522,                0.66036,                 1.4409,                 1.3128,                      0,                0.60123,                0.99597,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.5419,                 1.7026,                      0,                0.71152,                 1.0116,                0.98976,                0.98429,                 0.9892,                0.57588,                0.93108,                0.91951,                0.90997,                0.67524,                 1.4763,                 1.2802,                      0,                0.62328,                 1.0143,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.5137,                 1.5595,                      0,                0.70098,                 1.0147,                0.99201,                0.98429,                0.98846,                0.60561,                0.94681,                0.93717,                0.92505,                0.52188,                 1.4123,                 1.6217,                      0,                0.58816,                0.98582,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.4955,                 1.6054,                      0,                0.69748,                0.99853,                 0.9971,                0.97382,                0.98918,                 0.5865,                0.87799,                0.85864,                0.81596,                0.49464,                 1.4666,                 1.8129,                      0,                0.59736,                 1.0016,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.4878,                 1.5069,                      0,                0.69466,                 1.0025,                0.98885,                0.97906,                0.98838,                0.57275,                0.94308,                0.92147,                 0.9417,                0.66289,                 1.4736,                 1.3573,                      0,                0.61597,                  1.008,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.5335,                 1.5808,                      0,                0.70599,                 1.0111,                0.99758,                0.97382,                0.98643,                0.58071,                 0.9597,                0.93717,                0.94499,                0.73563,                 1.4418,                 1.0415,                      0,                0.61652,                0.99313,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.5254,                 1.4858,                      0,                0.70646,                 1.0008,                0.97846,                0.98953,                0.98722,                0.56539,                0.91891,                0.88998,                0.88849,                0.63225,                 1.4853,                 1.3675,                      0,                0.61627,                 1.0072,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.4948,                 1.4727,                      0,                0.69817,                 1.0151,                0.99467,                0.97636,                0.98797,                0.59854,                0.90928,                0.89207,                0.86985,                0.68382,                 1.4235,                 1.2518,                      0,                0.61829,                0.99812,               0.001406,               0.001406,               0.001406
                     63,                 1.5005,                 1.5682,                      0,                 0.6955,                0.99975,                 0.9947,                0.98354,                0.98498,                0.58011,                0.89941,                0.88945,                0.84451,                0.45605,                  1.464,                 1.8955,                      0,                0.60826,                 1.0077,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.5021,                 1.4483,                      0,                0.69928,                0.99886,                0.98946,                0.98254,                0.98891,                0.59505,                0.91038,                 0.9041,                0.90472,                0.71746,                 1.4452,                 1.1117,                      0,                0.58971,                0.99531,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.4914,                 1.4569,                      0,                0.69381,                 1.0035,                0.99468,                0.97842,                0.98738,                0.59588,                0.91724,                0.90576,                0.90048,                 0.6974,                 1.4041,                 1.0868,                      0,                  0.607,                0.98913,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.5134,                 1.4418,                      0,                 0.7039,                 1.0052,                0.98761,                0.96335,                0.98999,                 0.5968,                0.84235,                0.82199,                  0.784,                0.42527,                 1.4554,                 2.1795,                      0,                0.60087,                0.99834,              0.0013664,              0.0013664,              0.0013664
